StudentID,StudentName,gender,Major,Minor,Username,Password
62-2602790,Eloise Wroughton,F,Statistics,Psychology,ewroughton0,db96eb84fed8bfc5ffe0d9d4713916d87de236a8a2d552bc1673542a3059e624
33-0434607,Reinhard McSpirron,M,Chemistry,Statistics,rmcspirron1,470d4bb4b7501a0ad3df01d11c144b7f58ef8781472744e013717b098541d1b1
28-6038636,Melina Crowley,F,English,Psychology,mcrowley2,6c2080c83d80fd55d9ac181efcdf156b647e45918adb85c162a1404b5f301b7e
49-4658638,Sula Landman,F,English,Computer Science,slandman3,767e6e3faf29d6860791d736cdccafe04167284f2f73e18dce384f2faa2c252f
91-5284095,Jan Sotheby,F,Psychology,Anthropology,jsotheby4,db3efdaf3cc29b390ead84ded5e3cd8f35703bb70a3e0f242fbf70c0d427e05a
93-1740483,Nelli Pill,F,Statistics,Physics,npill5,41984c94c18227ed3d943a347e471f1bfd175eeac8c49af70f3591c2b9db8bd5
04-5258373,Edouard Kabos,M,Sociology,Chemistry,ekabos6,baa8576eec9df00cbfbc007c6a75f51f52a50af0526482832d21c53447d7ec86
35-8678058,Aleta McCree,F,Psychology,Biology,amccree7,3269489af8e169f56d68d580b15091da76281ac5477120c784628d51fcfaa104
03-3780541,Hyacinthia Dundredge,F,Philosophy,History,hdundredge8,6427f7dc3008a3659665d2a4219c614d1df57eb309b7d6ff5d4b75d2eda12e6e
72-3106710,Even Leighton,M,Political Science,Computer Science,eleighton9,71e8d90e092c9926fd6c085dac6d074eca11c48223720a149a7de00655293771
46-2868050,Babs MacAlees,F,Political Science,Physics,bmacaleesa,f455b9096023de1157f32ab4a6be79fbccd0d726401f3fd52635d90345a14fc1
71-8759600,Dulsea Ruprechter,F,Mathematics,Biology,druprechterb,22102cb5fda23b3393c24ccdef516284da2323293c4beb4cde64c2075ed217e6
47-7865164,Gabrila Swansbury,F,History,Computer Science,gswansburyc,65ee4ff5177826515bed099ef31ceba043e38f68f5fd16077199d06c4ac17678
60-4763966,Sybyl Leahy,F,Political Science,History,sleahyd,82dd9448797978d75adb543f83c899136bed0a014a5cf5214c363154529832a2
16-7590501,Roley Bredee,M,English,Sociology,rbredeee,cf3c8fb4e6f064dae235ef9446233ab55f32ca4f3d13a7e7feb75b4e082c7e84
94-9730332,Robbie Burdas,F,English,Political Science,rburdasf,efcda976912aa561ff582356ae695aef38b93c7676ad6ccd643a4e8276e53a24
66-8345421,Tandy Gumm,F,Anthropology,Statistics,tgummg,edbacc77d109bff36bf45c8cf421817949cacb7251fbb8a50a5de261ad8b3686
62-8489840,Anetta Petegre,F,Economics,Sociology,apetegreh,0c0a2f63ab1abed577dcdb20e4554aadf2d5112316757fc9e4f8d8d1bb796ad2
65-8782333,Jeremy St Clair,M,Biology,Philosophy,jsti,eda13298dc562af092f325e3a3865a685cd4fa073e3d43f809f121129f73aa2b
79-6758160,Gert Whitney,F,Computer Science,History,gwhitneyj,331355cf0e93dfaebd47f1419b49bcd14b2a591cb0379758e9a37ca38de2c1ad
59-3434766,Anatollo Caven,M,Computer Science,English,acavenk,de8e6e9e01c1b104a23d947400b6244b1e4d3e07d08cb68175da826f8dae2cc3
96-9883007,Magda Cockell,F,Physics,Sociology,mcockelll,82a4f7bd5fe4b86b96b1167b17ef8743844defaa238d0e32e67cd7741dee486f
14-6068373,Xylia Slaughter,F,Chemistry,Sociology,xslaughterm,8a63aaf61e91a6669d6b7bd5d9812f47e9dafdf417eee9116fb72df97220567d
65-7663926,Kinna McLaggan,F,Political Science,English,kmclaggann,a66a2e72e17219d2865bab313236618b4427654c6b90e576038f42779af6419a
51-4335132,Lesli Crispin,F,Physics,History,lcrispino,db0781e1170a7caa3ce7c176298f9e5aac7b26e433f15b70b3928a8be340f85c
61-6589143,Lionel Karolczyk,M,Physics,Statistics,lkarolczykp,c9c211daaed1b5fcbf6bdb3970dcffa478e635a91d672c7acdeb4477e39c4cf5
86-4393106,Evita McIlvoray,F,Statistics,Anthropology,emcilvorayq,e22802c84ec84973079236f7043cd41dd32a796fec5959e1f852ccf8f642eaf9
29-8588966,Ermanno Chard,M,Biology,Psychology,echardr,044e587bd8fcc8d108ca1196dc1efda34ecccf73c6041af145d30f72c6e6d244
79-4994399,Kristofer Shafto,M,Psychology,Chemistry,kshaftos,01168b0dcc5246b6681123ff574f451abfdf4ddfb090509e4a29342b1f281a23
08-7719502,Guntar Lockier,M,Economics,Chemistry,glockiert,a97bc9a2b71e806c6a63ff404a9cdc301e23704b690ea9a0d5a7a8eecd499bde
94-0843689,Troy Heams,M,Biology,Philosophy,theamsu,6ef92eadb77d68bbc5b4fe3ad618dfe28fe4971a907c6299c2899fa8c6029b2b
14-1465656,Benson Griffin,M,Philosophy,Statistics,bgriffinv,62adc6327297d467cddb04c910f266e4e656e9b8fe681ee7640026e35f422098
83-4346456,Daryle Mix,M,English,Political Science,dmixw,91d8cd726d90020418e5533c84ad902bd6070ec96bfc198a86ac090d8673e738
00-6366568,Alene Pluck,F,Political Science,Psychology,apluckx,72a6e7b7dc80820c47da67f0aa7fdab92c439ae6d66e128cb7200499a5721935
91-3693281,Cob Aiskrigg,M,Psychology,Sociology,caiskriggy,6a0bcfbe740cd1a5152fd819f45616cb7ca35c82a7cb7307eeec91193d41d4b8
82-9208031,Knox Rucklidge,M,Economics,Statistics,krucklidgez,08cfeb827026a043cc3c4e3f7ad9925edb22bd474696dc61dc9b5331c946af54
11-9868345,Fidelity Cobden,F,Psychology,English,fcobden10,c2701c3565911fc0aad70f24c6fd439356c97f77535ca84acf7fe567f1cc0d1b
52-2237825,Gisele Dearing,F,Computer Science,Anthropology,gdearing11,6b6e656e0de29e48f32e280fadff80ca928bed147aedb67bf78d88f8d8cd28b3
14-0771088,Carol Warrior,F,Anthropology,Sociology,cwarrior12,80d365c8130ace9740a3b2133ef43e8b6d3a36c60d687b0ee47fea68e11bac6d
36-4108995,Melloney MacDonough,F,Philosophy,Political Science,mmacdonough13,07ee7cad584006b05d4be0a193ed898ce7db92fd894499c0136e079ac9b5ffeb
83-4607255,Randene Mordey,F,Statistics,Biology,rmordey14,c29aa805029852c9298a2691d0cd443c8e74ef1c86a08f9e9178a13504148c5c
93-5002508,Merrily Chisnell,F,Anthropology,Sociology,mchisnell15,075387b267aa75ad4c72a5b4d618d072fbdee3ead79f9fb119a89f655fb80c42
11-6270499,Edwin Baudains,M,Psychology,English,ebaudains16,b3142906e36297935dc34679baaea2284459fc57e9e9d5f4c9b909917850e9e5
10-5219512,Kevina Mattersey,F,Political Science,Biology,kmattersey17,06a473d7b3002da72efd4e139346a508c57b82fd1298624aad89bb4e98bb5393
67-9015404,Harley Copozio,M,Philosophy,Political Science,hcopozio18,84b7c8c985a82599c2bc7f213574c00564e2d9c5943ff6ba046e0980dfcf1555
73-0826481,Lettie Benyan,F,English,Mathematics,lbenyan19,c19e4ff35bec910be4c6676c1c9c63e7921f911e3e2f162059c0d677eab0d22f
28-6638773,Butch Delve,M,Biology,Political Science,bdelve1a,e928b83730a70fbb69609acf4dbb53a0bbd48e659e56f677f5d882fa2c0b7fa0
35-7494427,Burt Offord,M,Economics,Computer Science,bofford1b,9316a3bc81600f428c3c747cd06a82854709c1245f7402e3332417179060cf85
17-2094971,Dion Drissell,F,Mathematics,Economics,ddrissell1c,ed9cfbf606f4c9269137939e5cf931371690c9d346987901b5ff3e29d21101c3
15-0652990,Forrester Husbands,M,Physics,Psychology,fhusbands1d,c5ca1dede63660d90c58fe6233d2bebd1da1d8265f2e8e941af87c1cca8e8b00
12-8648259,Hedy Jelks,F,Computer Science,Mathematics,hjelks1e,80c014ff1e9174f8c2763a1efdb99ef138edd59282530c4d46c976c6a59fa6aa
44-1260858,Phillis Warsop,F,Sociology,Economics,pwarsop1f,af8abfa8441c2307385273ce54ec7ee2231fb442a933238ceb365c8e5f1d9660
67-6687797,Smitty Larroway,M,Psychology,Sociology,slarroway1g,755e3321ca2ffd67e1f5de42ccd6d4110d5ce3814c36ba68772f86433840a59c
18-9815506,Quintilla Frankum,F,Biology,English,qfrankum1h,e4a0fb9a3ae817ca12b952e1efd6b074ad18c51ccc68e7a022e722dfcf825eaa
74-6222557,Stillman Jeschner,M,Statistics,Sociology,sjeschner1i,7337be07de9e4dd60ae4db48b9a44de68e54c43fac49bf0373d6ebd93e410a80
85-4539381,Enrico Dadley,M,Statistics,Chemistry,edadley1j,0ceb9dba3218ae63b3c99770947193ae30a7df8bf8d09416985692b49b128419
31-1295823,Clarke Croizier,M,English,Mathematics,ccroizier1k,e21c100a4cb1c1082d9ad69d186c5ae02ccc93f6b9c29909d091fae969a28dad
09-7852968,Aggie Smees,F,Statistics,Psychology,asmees1l,dc28a742a3d709fe502fe0802e03d3a40aba18b774475802227fd75e4057987f
34-1374323,Brook Tulk,M,History,Mathematics,btulk1m,944451350b74c0f02f341913080beaa5eeb0c79087c01d9b95cc2d54cd94e349
35-4948516,Belva Maggiore,F,Physics,Political Science,bmaggiore1n,a4ce346677ac5ee6d809d51a2f7ad00d8954afc71d58b8be340b6944389f22a4
11-5088806,Kristofer Baurerich,M,Philosophy,Sociology,kbaurerich1o,3fb2d4ce94be7c369245640e1afd84ff833327ff674788faebe6c5d6794a4a64
49-6343224,Tammara Rickersey,F,English,Computer Science,trickersey1p,f9d21fa2a6a564656781de7ab7953732ae8f038792faca8867511be514d9e35c
51-8047572,Jedediah Suermeiers,M,Statistics,Philosophy,jsuermeiers1q,7f2963d6aeca4e48793a6d98c0b5f99f09c922e0112c5ee91a1aa0c7132198b5
98-7509582,Sisely Comer,F,English,Sociology,scomer1r,2a1b0345c5d371dd72f074bc1dd05916cdb263f559aff5330c28b79fdfd77da4
65-5727103,Maureen Haveline,F,History,Philosophy,mhaveline1s,868291b5a2406f1223ba81808f38564e941d2ed00b327da65959d03acb15f5d4
38-2948583,Janetta McNuff,F,Philosophy,Statistics,jmcnuff1t,a8952a9b7e899987973af870057516590e6e670a88075c5edccb4e6a2f516e15
70-1548602,Abie Lanon,M,History,English,alanon1u,b68eb1e3906d3773781a4a854ce680ccf071315ac2092a9962d8c17b762c12fe
